Name,Type,Default,Choices,Description,Config
reasoning-parser,str,(empty string),,Select the reasoning parser depending on the model<br>that you're using. This is used to parse the reasoning<br>content into OpenAI API format.,StructuredOutputsConfig
reasoning-parser-plugin,str,(empty string),,Path to a dynamically reasoning parser plugin that can<br>be dynamically loaded and registered.,StructuredOutputsConfig
all2all-backend,Enum,allgather_reducescatter,"allgather_reducescatter,deepep_high_throughput,deepep_low_latency,flashinfer_all2allv,flashinfer_nvlink_one_sided,flashinfer_nvlink_two_sided,mori_high_throughput,mori_low_latency,naive,nixl_ep,pplx","All2All backend for MoE expert parallel communication.<br>Available options:<br>- ""allgather_reducescatter"": All2all based on<br>allgather and reducescatter<br>- ""deepep_high_throughput"": Use deepep high-throughput<br>kernels<br>- ""deepep_low_latency"": Use deepep low-latency kernels<br>- ""mori_high_throughput"": MoRI EP with InterNodeV1 for<br>multi-node<br>- ""mori_low_latency"": MoRI EP with InterNodeV1LL for<br>multi-node<br>- ""nixl_ep"": Use nixl-ep kernels<br>- ""flashinfer_nvlink_two_sided"": Use flashinfer two-<br>sided kernels for mnnvl<br>- ""flashinfer_nvlink_one_sided"": Use flashinfer high-<br>throughput a2a kernels",ParallelConfig
cp-kv-cache-interleave-size,int,1,,"Interleave size of kv_cache storage while using DCP or<br>PCP. For `total_cp_rank = pcp_rank * dcp_world_size +<br>dcp_rank`, and `total_cp_world_size = pcp_world_size *<br>dcp_world_size`. store interleave_size tokens on<br>total_cp_rank i, then store next interleave_size<br>tokens on total_cp_rank i+1. Interleave_size=1: token-<br>level alignment, where token `i` is stored on<br>total_cp_rank `i % total_cp_world_size`.<br>Interleave_size=block_size: block-level alignment,<br>where tokens are first populated to the preceding<br>ranks. Tokens are then stored in (rank i+1, block j)<br>only after (rank i, block j) is fully occupied.<br>Block_size should be greater than or equal to<br>cp_kv_cache_interleave_size. Block_size should be<br>divisible by cp_kv_cache_interleave_size.",ParallelConfig
cpu-distributed-timeout-seconds,int,None,,"Timeout (in seconds) for cpu communication groups. If<br>None, PyTorch's default timeout is used (1800s for<br>gloo).",ParallelConfig
data-parallel-address,str,None,,Address of data parallel cluster head-node.,ParallelConfig
data-parallel-backend,str,mp,,"Backend for data parallel, either ""mp"" or ""ray"".",ParallelConfig
data-parallel-external-lb,Boolean flag,False,,"Whether to use ""external"" DP LB mode. Applies only to<br>online serving and when data_parallel_size > 0. This<br>is useful for a ""one-pod-per-rank"" wide-EP setup in<br>Kubernetes. Supported only for MoE deployments; non-<br>MoE models should use independent vLLM instances<br>without --data-parallel-* arguments. Set implicitly<br>when --data-parallel-rank is provided explicitly to<br>vllm serve.",ParallelConfig
no-data-parallel-external-lb,Boolean flag,False,,"Whether to use ""external"" DP LB mode. Applies only to<br>online serving and when data_parallel_size > 0. This<br>is useful for a ""one-pod-per-rank"" wide-EP setup in<br>Kubernetes. Supported only for MoE deployments; non-<br>MoE models should use independent vLLM instances<br>without --data-parallel-* arguments. Set implicitly<br>when --data-parallel-rank is provided explicitly to<br>vllm serve.",ParallelConfig
data-parallel-hybrid-lb,Boolean flag,False,,"Whether to use ""hybrid"" DP LB mode. Applies only to<br>online serving and when data_parallel_size > 0.<br>Enables running an AsyncLLM and API server on a ""per-<br>node"" basis where vLLM load balances between local<br>data parallel ranks, but an external LB balances<br>between vLLM nodes/replicas. Set explicitly in<br>conjunction with<br>--data-parallel-start-rank.",ParallelConfig
no-data-parallel-hybrid-lb,Boolean flag,False,,"Whether to use ""hybrid"" DP LB mode. Applies only to<br>online serving and when data_parallel_size > 0.<br>Enables running an AsyncLLM and API server on a ""per-<br>node"" basis where vLLM load balances between local<br>data parallel ranks, but an external LB balances<br>between vLLM nodes/replicas. Set explicitly in<br>conjunction with<br>--data-parallel-start-rank.",ParallelConfig
data-parallel-multi-port-external-lb,Boolean flag,False,,Run a node-local supervisor that launches one<br>external-LB API server per local data parallel rank<br>and exposes aggregated health on a supervisor port.,ParallelConfig
data-parallel-rank,int,None,,"Data parallel rank of this instance. When set, enables<br>external load balancer mode for MoE data-parallel<br>deployments. Unsupported for non-MoE models; launch<br>independent vLLM instances instead.",ParallelConfig
data-parallel-rpc-port,int,None,,Port for data parallel RPC communication.,ParallelConfig
data-parallel-size,int,1,,Number of data parallel groups. MoE layers will be<br>sharded according to the product of the tensor<br>parallel size and data parallel size.,ParallelConfig
data-parallel-size-local,int,None,,Number of data parallel replicas to run on this node.,ParallelConfig
data-parallel-start-rank,int,None,,Starting data parallel rank for secondary nodes.,ParallelConfig
dbo-decode-token-threshold,int,32,,"The threshold for dual batch overlap for batches only<br>containing decodes. If the number of tokens in the<br>request is greater than this threshold, microbatching<br>will be used. Otherwise, the request will be processed<br>in a single batch.",ParallelConfig
dbo-prefill-token-threshold,int,512,,"The threshold for dual batch overlap for batches that<br>contain one or more prefills. If the number of tokens<br>in the request is greater than this threshold,<br>microbatching will be used. Otherwise, the request<br>will be processed in a single batch.",ParallelConfig
dcp-comm-backend,Enum,ag_rs,"a2a,ag_rs","Communication backend for Decode Context Parallel<br>(DCP).<br>- ""ag_rs"": AllGather + ReduceScatter (default,<br>existing behavior)<br>- ""a2a"": All-to-All exchange of partial outputs + LSE,<br>then combine with Triton kernel. Reduces NCCL calls<br>from 3 to 2 per layer for MLA models.",ParallelConfig
dcp-kv-cache-interleave-size,int,1,,"Interleave size of kv_cache storage while using DCP.<br>dcp_kv_cache_interleave_size has been replaced by<br>cp_kv_cache_interleave_size, and will be deprecated<br>when PCP is fully supported.",ParallelConfig
decode-context-parallel-size,int,1,,"Number of decode context parallel groups, because the<br>world size does not change by dcp, it simply reuse the<br>GPUs of TP group, and tp_size needs to be divisible by<br>dcp_size.",ParallelConfig
disable-custom-all-reduce,Boolean flag,False,,Disable the custom all-reduce kernel and fall back to<br>NCCL.,ParallelConfig
no-disable-custom-all-reduce,Boolean flag,False,,Disable the custom all-reduce kernel and fall back to<br>NCCL.,ParallelConfig
disable-nccl-for-dp-synchronization,Boolean flag,None,,"Forces the dp synchronization logic in<br>vllm/v1/worker/dp_utils.py  to use Gloo instead of<br>NCCL for its all reduce.<br>Defaults to True when async scheduling is enabled,<br>False otherwise.",ParallelConfig
no-disable-nccl-for-dp-synchronization,Boolean flag,None,,"Forces the dp synchronization logic in<br>vllm/v1/worker/dp_utils.py  to use Gloo instead of<br>NCCL for its all reduce.<br>Defaults to True when async scheduling is enabled,<br>False otherwise.",ParallelConfig
distributed-executor-backend,Enum,None,"'external_launcher', 'mp', 'ray', 'uni'","Backend to use for distributed model workers, either<br>""ray"" or ""mp"" (multiprocessing). If the product of<br>pipeline_parallel_size and tensor_parallel_size is<br>less than or equal to the number of GPUs available,<br>""mp"" will be used to keep processing on a single host.<br>Otherwise, an error will be raised. To use ""mp"" you<br>must also set nnodes, and to use ""ray"" you must<br>manually set distributed_executor_backend to ""ray"".<br>Note:<br>[TPU](https://docs.vllm.ai/projects/tpu/en/latest/)<br>platform only supports Ray for distributed inference.",ParallelConfig
distributed-timeout-seconds,int,None,,"Timeout in seconds for distributed operations (e.g.,<br>init_process_group). If set, this value is passed to<br>torch.distributed.init_process_group as the timeout<br>parameter. If None, PyTorch's default timeout is used<br>(600s for NCCL). Increase this for multi-node setups<br>where model downloads may be slow.",ParallelConfig
enable-dbo,Boolean flag,False,,Enable dual batch overlap for the model executor.,ParallelConfig
no-enable-dbo,Boolean flag,False,,Enable dual batch overlap for the model executor.,ParallelConfig
enable-elastic-ep,Boolean flag,False,,Enable elastic expert parallelism with stateless NCCL<br>groups for DP/EP.,ParallelConfig
no-enable-elastic-ep,Boolean flag,False,,Enable elastic expert parallelism with stateless NCCL<br>groups for DP/EP.,ParallelConfig
enable-ep-weight-filter,Boolean flag,False,,"Skip non-local expert weights during model loading<br>when expert parallelism is active.  Each rank only<br>reads its own expert shard from disk, which can<br>drastically reduce storage I/O for MoE models with<br>per-expert weight tensors (e.g. DeepSeek, Mixtral,<br>Kimi-K2.5).  Has no effect on 3D fused-expert<br>checkpoints (e.g. GPT-OSS) or non-MoE models.",ParallelConfig
no-enable-ep-weight-filter,Boolean flag,False,,"Skip non-local expert weights during model loading<br>when expert parallelism is active.  Each rank only<br>reads its own expert shard from disk, which can<br>drastically reduce storage I/O for MoE models with<br>per-expert weight tensors (e.g. DeepSeek, Mixtral,<br>Kimi-K2.5).  Has no effect on 3D fused-expert<br>checkpoints (e.g. GPT-OSS) or non-MoE models.",ParallelConfig
enable-eplb,Boolean flag,False,,Enable expert parallelism load balancing for MoE<br>layers.,ParallelConfig
no-enable-eplb,Boolean flag,False,,Enable expert parallelism load balancing for MoE<br>layers.,ParallelConfig
enable-expert-parallel,Boolean flag,False,,Use expert parallelism instead of tensor parallelism<br>for MoE layers.,ParallelConfig
no-enable-expert-parallel,Boolean flag,False,,Use expert parallelism instead of tensor parallelism<br>for MoE layers.,ParallelConfig
eplb-config,dict (EPLBConfig),"EPLBConfig(window_size=1000, step_interval=3000,<br>num_redundant_experts=0, log_balancedness=False,<br>log_balancedness_interval=1, use_async=True,<br>policy='default', communicator=None)",,Expert parallelism configuration.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.EPLBConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,ParallelConfig
expert-placement-strategy,Enum,linear,"linear,round_robin","The expert placement strategy for MoE layers:<br>- ""linear"": Experts are placed in a contiguous manner.<br>For example, with 4 experts and 2 ranks, rank 0 will<br>have experts [0, 1] and rank 1 will have experts [2,<br>3].<br>- ""round_robin"": Experts are placed in a round-robin<br>manner. For example, with 4 experts and 2 ranks, rank<br>0 will have experts [0, 2] and rank 1 will have<br>experts [1, 3]. This strategy can help improve load<br>balancing for grouped expert models with no redundant<br>experts.",ParallelConfig
master-addr,str,127.0.0.1,,distributed master address for multi-node distributed<br>inference when distributed_executor_backend is mp.,ParallelConfig
master-port,int,29501,,distributed master port for multi-node distributed<br>inference when distributed_executor_backend is mp.,ParallelConfig
max-parallel-loading-workers,int,None,,Maximum number of parallel loading workers when<br>loading model sequentially in multiple batches. To<br>avoid RAM OOM when using tensor parallel and large<br>models.,ParallelConfig
nnodes,int,1,,num of nodes for multi-node distributed inference when<br>distributed_executor_backend is mp.,ParallelConfig
node-rank,int,0,,distributed node rank for multi-node distributed<br>inference when distributed_executor_backend is mp.,ParallelConfig
numa-bind,Boolean flag,False,,"Enable NUMA binding for GPU worker subprocesses.<br>By default, workers are pinned to their GPU's NUMA-<br>local CPUs and memory; on PCT-capable Xeons they also<br>auto-bind to the SKU's PCT priority cores.",ParallelConfig
no-numa-bind,Boolean flag,False,,"Enable NUMA binding for GPU worker subprocesses.<br>By default, workers are pinned to their GPU's NUMA-<br>local CPUs and memory; on PCT-capable Xeons they also<br>auto-bind to the SKU's PCT priority cores.",ParallelConfig
numa-bind-cpus,List,None,,"Optional CPU lists to bind each GPU worker to.<br>Specify one CPU list per visible GPU, for example<br>`[""0-3"", ""4-7"", ""8-11"", ""12-15""]`. When set, vLLM uses<br>`numactl --physcpubind` instead of `--cpunodebind`.<br>This is useful for custom policies such as binding to<br>PCT or other high-frequency cores. Each entry must use<br>`numactl --physcpubind` CPU-list syntax, for example<br>`""0-3""` or `""0,2,4-7""`.",ParallelConfig
numa-bind-nodes,List,None,,"NUMA node to bind each GPU worker to.<br>Specify one NUMA node per visible GPU, for example<br>`[0, 0, 1, 1]` for a 4-GPU system with GPUs 0-1 on<br>NUMA node 0 and GPUs 2-3 on NUMA node 1. If unset and<br>`numa_bind=True`, vLLM auto-detects the GPU-to-NUMA<br>topology. The values are passed to `numactl --membind`<br>and `--cpunodebind`, so they must be valid `numactl`<br>NUMA node indices.",ParallelConfig
pipeline-parallel-size,int,1,,Number of pipeline parallel groups.,ParallelConfig
prefill-context-parallel-size,int,1,,Number of prefill context parallel groups.,ParallelConfig
ray-workers-use-nsight,Boolean flag,False,,"Whether to profile Ray workers with nsight, see<br>https://docs.ray.io/en/latest/ray-observability/user-<br>guides/profiling.html#profiling-nsight-profiler.",ParallelConfig
no-ray-workers-use-nsight,Boolean flag,False,,"Whether to profile Ray workers with nsight, see<br>https://docs.ray.io/en/latest/ray-observability/user-<br>guides/profiling.html#profiling-nsight-profiler.",ParallelConfig
tensor-parallel-size,int,1,,Number of tensor parallel groups.,ParallelConfig
ubatch-size,int,0,,Number of ubatch size.,ParallelConfig
worker-cls,str,auto,,"The full name of the worker class to use. If ""auto"",<br>the worker class will be determined based on the<br>platform.",ParallelConfig
worker-extension-cls,str,(empty string),,The full name of the worker extension class to use.<br>The worker extension class is dynamically inherited by<br>the worker class. This is used to inject new<br>attributes and methods to the worker class for use in<br>collective_rpc calls.,ParallelConfig
window_size,int,1000,,Window size for expert load recording.,EPLBConfig
step_interval,int,3000,,Interval for rearranging experts in expert parallelism.,EPLBConfig
num_redundant_experts,int,0,,Number of redundant experts to use for expert parallelism.,EPLBConfig
log_balancedness,bool,False,,Log the balancedness each step of expert parallelism.,EPLBConfig
log_balancedness_interval,int,1,,Interval for logging the balancedness.,EPLBConfig
use_async,bool,True,,Whether to use non-blocking EPLB.,EPLBConfig
policy,EPLBPolicyOption,"""default""",,The policy type for expert parallel load balancing (EPLB).,EPLBConfig
communicator,EPLBCommunicatorBackend | None,None,,"Backend for EPLB expert weight communication: 'torch_nccl', 'torch_gloo', 'nixl', 'pynccl', or None (auto-select).",EPLBConfig
block-size,int,None,,"Size of a contiguous cache block in number of tokens.<br>Accepts None (meaning ""use default""). After<br>construction, always int.",CacheConfig
calculate-kv-scales,Boolean flag,False,,"Deprecated: This option is deprecated and will be<br>removed in v0.19. It enables dynamic calculation of<br>`k_scale` and `v_scale` when kv_cache_dtype is fp8. If<br>`False`, the scales will be loaded from the model<br>checkpoint if available. Otherwise, the scales will<br>default to 1.0.",CacheConfig
no-calculate-kv-scales,Boolean flag,False,,"Deprecated: This option is deprecated and will be<br>removed in v0.19. It enables dynamic calculation of<br>`k_scale` and `v_scale` when kv_cache_dtype is fp8. If<br>`False`, the scales will be loaded from the model<br>checkpoint if available. Otherwise, the scales will<br>default to 1.0.",CacheConfig
enable-prefix-caching,Boolean flag,None,,Whether to enable prefix caching.,CacheConfig
no-enable-prefix-caching,Boolean flag,None,,Whether to enable prefix caching.,CacheConfig
gpu-memory-utilization,float,0.92,,"The fraction of GPU memory to be used for the model<br>executor, which can range from 0 to 1. For example, a<br>value of 0.5 would imply 50% GPU memory utilization.<br>If unspecified, will use the default value of 0.92.<br>This is a per-instance limit, and only applies to the<br>current vLLM instance. It does not matter if you have<br>another vLLM instance running on the same GPU. For<br>example, if you have two vLLM instances running on the<br>same GPU, you can set the GPU memory utilization to<br>0.5 for each instance.",CacheConfig
kv-cache-dtype,Enum,auto,"auto,bfloat16,float16,fp8,fp8_ds_mla,fp8_e4m3,fp8_e5m2,fp8_inc,fp8_per_token_head,int8_per_token_head,nvfp4,turboquant_3bit_nc,turboquant_4bit_nc,turboquant_k3v4_nc,turboquant_k8v4","Data type for kv cache storage. If ""auto"", will use<br>model data type. CUDA 11.8+ supports fp8 (=fp8_e4m3)<br>and fp8_e5m2. ROCm (AMD GPU) supports fp8 (=fp8_e4m3).<br>Intel Gaudi (HPU) supports fp8 (using fp8_inc). Some<br>models (namely DeepSeekV3.2) default to fp8, set to<br>bfloat16 to use bfloat16 instead, this is an invalid<br>option for models that do not default to fp8.",CacheConfig
kv-cache-dtype-skip-layers,List,[],,"Layer patterns to skip KV cache quantization. Accepts<br>layer indices (e.g., '0', '2', '4') or attention type<br>names (e.g., 'sliding_window').",CacheConfig
kv-cache-memory-bytes,int,None,,"Size of KV Cache per GPU in bytes. By default, this is<br>set to None and vllm can automatically infer the kv<br>cache size based on gpu_memory_utilization. However,<br>users may want to manually specify the kv cache memory<br>size. kv_cache_memory_bytes allows more fine-grain<br>control of how much memory gets used when compared<br>with using gpu_memory_utilization. Note that<br>kv_cache_memory_bytes (when not-None) ignores<br>gpu_memory_utilization<br>Parse human-readable integers like '1k', '2M', etc.<br>Including decimal values with decimal multipliers.<br>    Examples:<br>    - '1k' -> 1,000<br>    - '1K' -> 1,024<br>    - '25.6k' -> 25,600",CacheConfig
kv-offloading-backend,Enum,native,"lmcache,native","The backend to use for KV cache offloading. Supported<br>backends include 'native' (vLLM native CPU<br>offloading), 'lmcache'. KV offloading is only<br>activated when kv_offloading_size is set.",CacheConfig
kv-offloading-size,float,None,,"Size of the KV cache offloading buffer in GiB. When TP<br>> 1, this is the total buffer size summed across all<br>TP ranks. By default, this is set to None, which means<br>no KV offloading is enabled. When set, vLLM will<br>enable KV cache offloading to CPU using the<br>kv_offloading_backend.",CacheConfig
kv-sharing-fast-prefill,Boolean flag,False,,"This feature is work in progress and no prefill<br>optimization takes place with this flag enabled<br>currently.<br>In some KV sharing setups, e.g. YOCO<br>(https://arxiv.org/abs/2405.05254), some layers can<br>skip tokens corresponding to prefill. This flag<br>enables attention metadata for eligible layers to be<br>overridden with metadata necessary for implementing<br>this optimization in some models (e.g. Gemma3n)",CacheConfig
no-kv-sharing-fast-prefill,Boolean flag,False,,"This feature is work in progress and no prefill<br>optimization takes place with this flag enabled<br>currently.<br>In some KV sharing setups, e.g. YOCO<br>(https://arxiv.org/abs/2405.05254), some layers can<br>skip tokens corresponding to prefill. This flag<br>enables attention metadata for eligible layers to be<br>overridden with metadata necessary for implementing<br>this optimization in some models (e.g. Gemma3n)",CacheConfig
mamba-block-size,int,None,,Size of a contiguous cache block in number of tokens<br>for mamba cache. Can be set only when prefix caching<br>is enabled. Value must be a multiple of 8 to align<br>with causal_conv1d kernel.,CacheConfig
mamba-cache-dtype,Enum,auto,"auto,bfloat16,float16,float32","The data type to use for the Mamba cache (both the<br>conv as well as the ssm state). If set to 'auto', the<br>data type will be inferred from the model config.",CacheConfig
mamba-cache-mode,Enum,none,"align,all,none","The cache strategy for Mamba layers.<br>- ""none"": set when prefix caching is disabled.<br>- ""all"": cache the mamba state of all tokens at<br>position i * block_size. This is the default behavior<br>(for models that support it) when prefix caching is<br>enabled.<br>- ""align"": only cache the mamba state of the last<br>token of each scheduler step and when the token is at<br>position i * block_size.",CacheConfig
mamba-ssm-cache-dtype,Enum,auto,"auto,bfloat16,float16,float32","The data type to use for the Mamba cache (ssm state<br>only, conv state will still be controlled by<br>mamba_cache_dtype). If set to 'auto', the data type<br>for the ssm state will be determined by<br>mamba_cache_dtype.",CacheConfig
num-gpu-blocks-override,int,None,,Number of GPU blocks to use. This overrides the<br>profiled `num_gpu_blocks` if specified. Does nothing<br>if `None`. Used for testing preemption.,CacheConfig
prefix-caching-hash-algo,Enum,sha256,"sha256,sha256_cbor,xxhash,xxhash_cbor","Set the hash algorithm for prefix caching:<br>- ""sha256"" uses Pickle for object serialization before<br>hashing. This is the current default, as SHA256 is the<br>most secure choice to avoid potential hash collisions.<br>- ""sha256_cbor"" provides a reproducible, cross-<br>language compatible hash. It serializes objects using<br>canonical CBOR and hashes them with SHA-256.<br>- ""xxhash"" uses Pickle serialization with xxHash<br>(128-bit) for faster, non-cryptographic hashing.<br>Requires the optional ``xxhash`` package. IMPORTANT:<br>Use of a hashing algorithm that is not considered<br>cryptographically secure theoretically increases the<br>risk of hash collisions, which can cause undefined<br>behavior or even leak private information in multi-<br>tenant environments. Even if collisions are still very<br>unlikely, it is important to consider your security<br>risk tolerance against the performance benefits before<br>turning this on.<br>- ""xxhash_cbor"" combines canonical CBOR serialization<br>with xxHash for reproducible hashing. Requires the<br>optional ``xxhash`` package.",CacheConfig
cpu-offload-gb,float,0,,"The space in GiB to offload to CPU, per GPU. Default<br>is 0, which means no offloading. Intuitively, this<br>argument can be seen as a virtual way to increase the<br>GPU memory size. For example, if you have one 24 GB<br>GPU and set this to 10, virtually you can think of it<br>as a 34 GB GPU. Then you can load a 13B model with<br>BF16 weight, which requires at least 26GB GPU memory.<br>Note that this requires fast CPU-GPU interconnect, as<br>part of the model is loaded from CPU memory to GPU<br>memory on the fly in each model forward pass. This<br>uses UVA (Unified Virtual Addressing) for zero-copy<br>access.",OffloadConfig
cpu-offload-params,List,set(),,"The set of parameter name segments to target for CPU<br>offloading. Unmatched parameters are not offloaded. If<br>this set is empty, parameters are offloaded non-<br>selectively until the memory limit defined by<br>`cpu_offload_gb` is reached. Examples:<br>    - For parameter name ""mlp.experts.w2_weight"":<br>        - ""experts"" or ""experts.w2_weight"" will match.<br>        - ""expert"" or ""w2"" will NOT match (must be<br>exact segments). This allows distinguishing parameters<br>like ""w2_weight"" and ""w2_weight_scale"".",OffloadConfig
offload-backend,Enum,auto,"auto,prefetch,uva","The backend for weight offloading. Options:<br>- ""auto"": Selects based on which sub-config has non-<br>default values (prefetch if offload_group_size > 0,<br>uva if cpu_offload_gb > 0).<br>- ""uva"": UVA (Unified Virtual Addressing) zero-copy<br>offloading.<br>- ""prefetch"": Async prefetch with group-based layer<br>offloading.",OffloadConfig
offload-group-size,int,0,,"Group every N layers together. Offload last<br>`offload_num_in_group` layers of each group. Default<br>is 0 (disabled). Example: group_size=8, num_in_group=2<br>offloads layers 6,7,14,15,22,23,... Unlike<br>cpu_offload_gb, this uses explicit async prefetching<br>to hide transfer latency.",OffloadConfig
offload-num-in-group,int,1,,Number of layers to offload per group. Must be <=<br>offload_group_size. Default is 1.,OffloadConfig
offload-params,List,set(),,"The set of parameter name segments to target for<br>prefetch offloading. Unmatched parameters are not<br>offloaded. If this set is empty, ALL parameters of<br>each offloaded layer are offloaded. Uses segment<br>matching: ""w13_weight"" matches<br>""mlp.experts.w13_weight"" but not<br>""mlp.experts.w13_weight_scale"".",OffloadConfig
offload-prefetch-step,int,1,,Number of layers to prefetch ahead. Higher values hide<br>more latency but use more GPU memory. Default is 1.,OffloadConfig
enable-mm-embeds,Boolean flag,False,,"If `True`, enables passing multimodal embeddings: for<br>`LLM` class, this refers to tensor inputs under<br>`multi_modal_data`; for the OpenAI-compatible server,<br>this refers to chat messages with content `""type"":<br>""*_embeds""`.<br>When enabled with `--limit-mm-per-prompt` set to 0 for<br>a modality, precomputed embeddings skip count<br>validation for that modality,  saving memory by not<br>loading encoder modules while still enabling<br>embeddings as an input. Limits greater than 0 still<br>apply to embeddings.<br>WARNING: The vLLM engine may crash if incorrect shape<br>of embeddings is passed. Only enable this flag for<br>trusted users!",MultiModalConfig
no-enable-mm-embeds,Boolean flag,False,,"If `True`, enables passing multimodal embeddings: for<br>`LLM` class, this refers to tensor inputs under<br>`multi_modal_data`; for the OpenAI-compatible server,<br>this refers to chat messages with content `""type"":<br>""*_embeds""`.<br>When enabled with `--limit-mm-per-prompt` set to 0 for<br>a modality, precomputed embeddings skip count<br>validation for that modality,  saving memory by not<br>loading encoder modules while still enabling<br>embeddings as an input. Limits greater than 0 still<br>apply to embeddings.<br>WARNING: The vLLM engine may crash if incorrect shape<br>of embeddings is passed. Only enable this flag for<br>trusted users!",MultiModalConfig
interleave-mm-strings,Boolean flag,False,,"Enable fully interleaved support for multimodal<br>prompts, while using<br>--chat-template-content-format=string.",MultiModalConfig
no-interleave-mm-strings,Boolean flag,False,,"Enable fully interleaved support for multimodal<br>prompts, while using<br>--chat-template-content-format=string.",MultiModalConfig
language-model-only,Boolean flag,False,,"If True, disables all multimodal inputs by setting all<br>modality limits to 0. Equivalent to setting `--limit-<br>mm-per-prompt` to 0 for every modality.",MultiModalConfig
no-language-model-only,Boolean flag,False,,"If True, disables all multimodal inputs by setting all<br>modality limits to 0. Equivalent to setting `--limit-<br>mm-per-prompt` to 0 for every modality.",MultiModalConfig
limit-mm-per-prompt,dict,{},,"The maximum number of input items and options allowed<br>per prompt for each modality.<br>Defaults to 999 for each modality.<br>Legacy format (count only): {""image"": 16, ""video"": 2}<br>Configurable format (with options): {""video"":<br>{""count"": 1, ""num_frames"": 32, ""width"": 512, ""height"":<br>512}, ""image"": {""count"": 5, ""width"": 512, ""height"":<br>512}}<br>Mixed format (combining both): {""image"": 16, ""video"":<br>{""count"": 1, ""num_frames"": 32, ""width"": 512, ""height"":<br>512}}<br>Should either be a valid JSON string or JSON keys<br>passed individually.",MultiModalConfig
media-io-kwargs,dict,{},,"Additional args passed to process media inputs, keyed<br>by modalities. For example, to set num_frames for<br>video, set `--media-io-kwargs '{""video"":<br>{""num_frames"": 40} }'`<br>Should either be a valid JSON string or JSON keys<br>passed individually.",MultiModalConfig
mm-encoder-attn-backend,str,None,,Optional override for the multi-modal encoder<br>attention backend when using vision transformers.<br>Accepts any value from `vllm.v1.attention.backends.reg<br>istry.AttentionBackendEnum` (e.g. `FLASH_ATTN`).,MultiModalConfig
mm-encoder-attn-dtype,Enum,None,"fp8,None","Optional dtype override for ViT encoder attention. Set<br>to `""fp8""` to enable FP8 quantization via the<br>FlashInfer cuDNN backend. When set to `""fp8""` without<br>a scale file, dynamic scaling is used automatically.<br>See docs/features/quantization/fp8_vit_attn.md for<br>details.",MultiModalConfig
mm-encoder-fp8-scale-path,str (file path),None,,"Path to a JSON file containing per-layer FP8 Q/K/V<br>scales for ViT encoder attention. When provided (with<br>`mm_encoder_attn_dtype=""fp8""`), static scaling is<br>used. When omitted, dynamic scaling is used.",MultiModalConfig
mm-encoder-fp8-scale-save-margin,float,1.5,,Safety margin multiplied onto scales when auto-saving.<br>A value > 1 leaves headroom so that inputs with larger<br>activations than the calibration set do not overflow<br>FP8 range. Default 1.5.,MultiModalConfig
mm-encoder-fp8-scale-save-path,str (file path),None,,"When set with dynamic FP8 scaling<br>(`mm_encoder_attn_dtype=""fp8""` and no<br>`mm_encoder_fp8_scale_path`), saves the calibrated<br>scales to this file after the amax history buffer is<br>full. The saved file can then be used as<br>`mm_encoder_fp8_scale_path` in subsequent runs.",MultiModalConfig
mm-encoder-only,Boolean flag,False,,"When enabled, skips the language component of the<br>model.<br>This is usually only valid in disaggregated Encoder<br>process.",MultiModalConfig
no-mm-encoder-only,Boolean flag,False,,"When enabled, skips the language component of the<br>model.<br>This is usually only valid in disaggregated Encoder<br>process.",MultiModalConfig
mm-encoder-tp-mode,Enum,weights,"data,weights","Indicates how to optimize multi-modal encoder<br>inference using tensor parallelism (TP).<br>- `""weights""`: Within the same vLLM engine, split the<br>weights of each layer across TP ranks. (default TP<br>behavior)<br>- `""data""`: Within the same vLLM engine, split the<br>batched input data across TP ranks to process the data<br>in parallel, while hosting the full weights on each TP<br>rank. This batch-level DP is not to be confused with<br>API request-level DP (which is controlled by `--data-<br>parallel-size`). This is only supported on a per-model<br>basis and falls back to `""weights""` if the encoder<br>does not support DP.",MultiModalConfig
mm-processor-cache-gb,float,4,,"The size (in GiB) of the multi-modal processor cache,<br>which is used to avoid re-processing past multi-modal<br>inputs.<br>This cache is duplicated for each API process and<br>engine core process, resulting in a total memory usage<br>of `mm_processor_cache_gb * (api_server_count +<br>data_parallel_size)`.<br>Set to `0` to disable this cache completely (not<br>recommended).",MultiModalConfig
mm-processor-cache-type,Enum,lru,"lru,shm","Type of cache to use for the multi-modal<br>preprocessor/mapper. If `shm`, use shared memory FIFO<br>cache. If `lru`, use mirrored LRU cache.",MultiModalConfig
mm-processor-kwargs,dict,None,,"Arguments to be forwarded to the model's processor for<br>multi-modal data, e.g., image processor. Overrides for<br>the multi-modal processor obtained from<br>`transformers.AutoProcessor.from_pretrained`.<br>The available overrides depend on the model that is<br>being run.<br>For example, for Phi-3-Vision: `{""num_crops"": 4}`.<br>Should either be a valid JSON string or JSON keys<br>passed individually.",MultiModalConfig
mm-shm-cache-max-object-size-mb,int,128,,"Size limit (in MiB) for each object stored in the<br>multi-modal processor shared memory cache. Only<br>effective when `mm_processor_cache_type` is `""shm""`.",MultiModalConfig
